I'll help you implement the necessary changes to fix the issue where `Apps.clear_cache()` does not clear the `get_swappable_settings_name` cache. Let's start by exploring the repository structure to understand the codebase.

<antml:function_calls>
<antml:invoke name="bash">
<antml:parameter name="command">find /testbed -type f -name "*.py" | grep -E "(app|registry)" | head -20</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>/testbed/tests/migrations/test_migrations_squashed_ref_squashed/app2/1_squashed_2.py
/testbed/tests/migrations/test_migrations_squashed_ref_squashed/app2/__init__.py
/testbed/tests/migrations/test_migrations_squashed_ref_squashed/app2/2_auto.py
/testbed/tests/migrations/test_migrations_squashed_ref_squashed/app2/1_auto.py
/testbed/tests/migrations/test_migrations_squashed_ref_squashed/app1/3_auto.py
/testbed/tests/migrations/test_migrations_squashed_ref_squashed/app1/__init__.py
/testbed/tests/migrations/test_migrations_squashed_ref_squashed/app1/4_auto.py
/testbed/tests/migrations/test_migrations_squashed_ref_squashed/app1/2_squashed_3.py
/testbed/tests/migrations/test_migrations_squashed_ref_squashed/app1/2_auto.py
/testbed/tests/migrations/test_migrations_squashed_ref_squashed/app1/1_auto.py
/testbed/tests/migrations/test_migrations_squashed_complex_multi_apps/app2/1_squashed_2.py
/testbed/tests/migrations/test_migrations_squashed_complex_multi_apps/app2/__init__.py
/testbed/tests/migrations/test_migrations_squashed_complex_multi_apps/app2/2_auto.py
/testbed/tests/migrations/test_migrations_squashed_complex_multi_apps/app2/1_auto.py
/testbed/tests/migrations/test_migrations_squashed_complex_multi_apps/__init__.py
/testbed/tests/migrations/test_migrations_squashed_complex_multi_apps/app1/3_auto.py
/testbed/tests/migrations/test_migrations_squashed_complex_multi_apps/app1/__init__.py
/testbed/tests/migrations/test_migrations_squashed_complex_multi_apps/app1/4_auto.py
/testbed/tests/migrations/test_migrations_squashed_complex_multi_apps/app1/2_squashed_3.py
/testbed/tests/migrations/test_migrations_squashed_complex_multi_apps/app1/2_auto.py</function_results>

<antml:function_calls>
<antml:invoke name="bash">
<antml:parameter name="command">find /testbed -path "*/django/apps*" -type f -name "*.py" | head -10</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>/testbed/django/apps/__init__.py
/testbed/django/apps/config.py
/testbed/django/apps/registry.py</function_results>

Great! Let's examine the apps module structure:

<antml:function_calls>
<antml:invoke name="str_replace_based_edit_tool">
<antml:parameter name="command">view</antml:parameter>
<antml:parameter name="path">/testbed/django/apps</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>Here're the files and directories up to 2 levels deep in /testbed/django/apps, excluding hidden items and node_modules:
34K	/testbed/django/apps
2.0K	/testbed/tests/admin_views/test_forms.py
4.5K	/testbed/tests/admin_views/test_history_view.py
3.0K	/testbed/tests/admin_views/test_multidb.py
9.0K	/testbed/tests/admin_views/test_nav_sidebar.py
3.0K	/testbed/tests/admin_views/test_related_object_lookups.py
5.5K	/testbed/tests/admin_views/test_skip_link_to_content.py
9.5K	/testbed/tests/admin_views/test_templatetags.py
353K	/testbed/tests/admin_views/tests.py
2.0K	/testbed/tests/admin_views/urls.py
512	/testbed/tests/admin_views/views.py
94K	/testbed/tests/admin_widgets
0	/testbed/tests/admin_widgets/__init__.py
6.0K	/testbed/tests/admin_widgets/models.py
7.0K	/testbed/tests/admin_widgets/test_autocomplete_widget.py
74K	/testbed/tests/admin_widgets/tests.py
512	/testbed/tests/admin_widgets/urls.py
2.0K	/testbed/tests/admin_widgets/widgetadmin.py
93K	/testbed/tests/aggregation
0	/testbed/tests/aggregation/__init__.py
1.5K	/testbed/tests/aggregation/models.py
8.0K	/testbed/tests/aggregation/test_filter_argument.py
80K	/testbed/tests/aggregation/tests.py
79K	/testbed/tests/aggregation_regress
0	/testbed/tests/aggregation_regress/__init__.py
4.0K	/testbed/tests/aggregation_regress/models.py
71K	/testbed/tests/aggregation_regress/tests.py
55K	/testbed/tests/annotations
0	/testbed/tests/annotations/__init__.py
2.0K	/testbed/tests/annotations/models.py
49K	/testbed/tests/annotations/tests.py
32K	/testbed/tests/app_loading
0	/testbed/tests/app_loading/__init__.py
20K	/testbed/tests/app_loading/eggs
4.5K	/testbed/tests/app_loading/not_installed
3.5K	/testbed/tests/app_loading/tests.py
64K	/testbed/tests/apps
0	/testbed/tests/apps/__init__.py
1.0K	/testbed/tests/apps/apps.py
512	/testbed/tests/apps/models.py
8.5K	/testbed/tests/apps/namespace_package_base
8.0K	/testbed/tests/apps/namespace_package_other_base
4.0K	/testbed/tests/apps/no_config_app
4.5K	/testbed/tests/apps/one_config_app
20K	/testbed/tests/apps/tests.py
4.5K	/testbed/tests/apps/two_configs_app
4.5K	/testbed/tests/apps/two_configs_one_default_app
4.5K	/testbed/tests/apps/two_default_configs_app
33K	/testbed/tests/asgi
0	/testbed/tests/asgi/__init__.py
8.5K	/testbed/tests/asgi/project
19K	/testbed/tests/asgi/tests.py
1.5K	/testbed/tests/asgi/urls.py
30K	/testbed/tests/async
0	/testbed/tests/async/__init__.py
512	/testbed/tests/async/models.py
4.0K	/testbed/tests/async/test_async_auth.py
1.0K	/testbed/tests/async/test_async_model_methods.py
10K	/testbed/tests/async/test_async_queryset.py
5.0K	/testbed/tests/async/test_async_related_managers.py
5.0K	/testbed/tests/async/tests.py
420K	/testbed/tests/auth_tests
512	/testbed/tests/auth_tests/__init__.py
512	/testbed/tests/auth_tests/backend_alias.py
1.5K	/testbed/tests/auth_tests/client.py
512	/testbed/tests/auth_tests/common-passwords-custom.txt
6.0K	/testbed/tests/auth_tests/fixtures
21K	/testbed/tests/auth_tests/models
1.0K	/testbed/tests/auth_tests/settings.py
21K	/testbed/tests/auth_tests/templates
2.0K	/testbed/tests/auth_tests/test_admin_multidb.py
34K	/testbed/tests/auth_tests/test_auth_backends.py
7.5K	/testbed/tests/auth_tests/test_basic.py
13K	/testbed/tests/auth_tests/test_checks.py
6.0K	/testbed/tests/auth_tests/test_context_processors.py
4.5K	/testbed/tests/auth_tests/test_decorators.py
51K	/testbed/tests/auth_tests/test_forms.py
3.0K	/testbed/tests/auth_tests/test_handlers.py
34K	/testbed/tests/auth_tests/test_hashers.py
51K	/testbed/tests/auth_tests/test_management.py
2.5K	/testbed/tests/auth_tests/test_middleware.py
11K	/testbed/tests/auth_tests/test_migrations.py
10K	/testbed/tests/auth_tests/test_mixins.py
23K	/testbed/tests/auth_tests/test_models.py
13K	/testbed/tests/auth_tests/test_remote_user.py
5.0K	/testbed/tests/auth_tests/test_signals.py
5.5K	/testbed/tests/auth_tests/test_templates.py
7.5K	/testbed/tests/auth_tests/test_tokens.py
12K	/testbed/tests/auth_tests/test_validators.py
< truncated lines 185-1289 >
5.0K	/testbed/tests/test_runner_apps/simple
5.5K	/testbed/tests/test_runner_apps/tagged
1.5K	/testbed/tests/test_sqlite.py
116K	/testbed/tests/test_utils
0	/testbed/tests/test_utils/__init__.py
4.5K	/testbed/tests/test_utils/fixtures
512	/testbed/tests/test_utils/models.py
9.0K	/testbed/tests/test_utils/templates
1.0K	/testbed/tests/test_utils/test_serializemixin.py
6.5K	/testbed/tests/test_utils/test_simpletestcase.py
6.0K	/testbed/tests/test_utils/test_testcase.py
2.5K	/testbed/tests/test_utils/test_transactiontestcase.py
81K	/testbed/tests/test_utils/tests.py
512	/testbed/tests/test_utils/urls.py
512	/testbed/tests/test_utils/views.py
64K	/testbed/tests/timezones
0	/testbed/tests/timezones/__init__.py
512	/testbed/tests/timezones/admin.py
1.0K	/testbed/tests/timezones/forms.py
1.0K	/testbed/tests/timezones/models.py
57K	/testbed/tests/timezones/tests.py
512	/testbed/tests/timezones/urls.py
14K	/testbed/tests/transaction_hooks
0	/testbed/tests/transaction_hooks/__init__.py
512	/testbed/tests/transaction_hooks/models.py
9.0K	/testbed/tests/transaction_hooks/tests.py
30K	/testbed/tests/transactions
0	/testbed/tests/transactions/__init__.py
1.0K	/testbed/tests/transactions/models.py
25K	/testbed/tests/transactions/tests.py
10K	/testbed/tests/unmanaged_models
0	/testbed/tests/unmanaged_models/__init__.py
3.5K	/testbed/tests/unmanaged_models/models.py
2.5K	/testbed/tests/unmanaged_models/tests.py
19K	/testbed/tests/update
0	/testbed/tests/update/__init__.py
1.5K	/testbed/tests/update/models.py
14K	/testbed/tests/update/tests.py
16K	/testbed/tests/update_only_fields
0	/testbed/tests/update_only_fields/__init__.py
1.5K	/testbed/tests/update_only_fields/models.py
11K	/testbed/tests/update_only_fields/tests.py
30K	/testbed/tests/urlpatterns
0	/testbed/tests/urlpatterns/__init__.py
512	/testbed/tests/urlpatterns/converter_urls.py
1.0K	/testbed/tests/urlpatterns/converters.py
512	/testbed/tests/urlpatterns/included_urls.py
512	/testbed/tests/urlpatterns/more_urls.py
1.0K	/testbed/tests/urlpatterns/path_base64_urls.py
512	/testbed/tests/urlpatterns/path_dynamic_urls.py
1.5K	/testbed/tests/urlpatterns/path_same_name_urls.py
1.5K	/testbed/tests/urlpatterns/path_urls.py
1.0K	/testbed/tests/urlpatterns/test_resolvers.py
17K	/testbed/tests/urlpatterns/tests.py
512	/testbed/tests/urlpatterns/views.py
126K	/testbed/tests/urlpatterns_reverse
0	/testbed/tests/urlpatterns_reverse/__init__.py
512	/testbed/tests/urlpatterns_reverse/erroneous_urls.py
512	/testbed/tests/urlpatterns_reverse/extra_urls.py
1.0K	/testbed/tests/urlpatterns_reverse/included_app_urls.py
512	/testbed/tests/urlpatterns_reverse/included_named_urls.py
512	/testbed/tests/urlpatterns_reverse/included_named_urls2.py
1.5K	/testbed/tests/urlpatterns_reverse/included_namespace_urls.py
512	/testbed/tests/urlpatterns_reverse/included_no_kwargs_urls.py
512	/testbed/tests/urlpatterns_reverse/included_urls.py
512	/testbed/tests/urlpatterns_reverse/included_urls2.py
512	/testbed/tests/urlpatterns_reverse/method_view_urls.py
1.5K	/testbed/tests/urlpatterns_reverse/middleware.py
512	/testbed/tests/urlpatterns_reverse/named_urls.py
1.0K	/testbed/tests/urlpatterns_reverse/named_urls_conflict.py
3.0K	/testbed/tests/urlpatterns_reverse/namespace_urls.py
512	/testbed/tests/urlpatterns_reverse/nested_urls.py
0	/testbed/tests/urlpatterns_reverse/no_urls.py
512	/testbed/tests/urlpatterns_reverse/nonimported_module.py
512	/testbed/tests/urlpatterns_reverse/reverse_lazy_urls.py
3.0K	/testbed/tests/urlpatterns_reverse/test_localeregexdescriptor.py
66K	/testbed/tests/urlpatterns_reverse/tests.py
27K	/testbed/tests/urlpatterns_reverse/translations
512	/testbed/tests/urlpatterns_reverse/urlconf_inner.py
512	/testbed/tests/urlpatterns_reverse/urlconf_outer.py
5.5K	/testbed/tests/urlpatterns_reverse/urls.py
512	/testbed/tests/urlpatterns_reverse/urls_error_handlers.py
512	/testbed/tests/urlpatterns_reverse/urls_error_handlers_callables.py
512	/testbed/tests/urlpatterns_reverse/urls_without_handlers.py
1.0K	/testbed/tests/urlpatterns_reverse/utils.py
2.0K	/testbed/tests/urlpatterns_reverse/views.py
512	/testbed/tests/urlpatterns_reverse/views_broken.py
512	/testbed/tests/urls.py
54K	/testbed/tests/user_commands
0	/testbed/tests/user_commands/__init__.py
7.5K	/testbed/tests/user_commands/eggs
21K	/testbed/tests/user_commands/management
1.0K	/testbed/tests/user_commands/models.py
21K	/testbed/tests/user_commands/tests.py
512	/testbed/tests/user_commands/urls.py
442K	/testbed/tests/utils_tests
0	/testbed/tests/utils_tests/__init__.py
27K	/testbed/tests/utils_tests/archives
512	/testbed/tests/utils_tests/deconstructible_classes.py
9.0K	/testbed/tests/utils_tests/eggs
90K	/testbed/tests/utils_tests/files
512	/testbed/tests/utils_tests/models.py
4.0K	/testbed/tests/utils_tests/test_archive.py
35K	/testbed/tests/utils_tests/test_autoreload.py
1.0K	/testbed/tests/utils_tests/test_connection.py
6.5K	/testbed/tests/utils_tests/test_crypto.py
13K	/testbed/tests/utils_tests/test_datastructures.py
11K	/testbed/tests/utils_tests/test_dateformat.py
9.5K	/testbed/tests/utils_tests/test_dateparse.py
3.5K	/testbed/tests/utils_tests/test_deconstruct.py
4.0K	/testbed/tests/utils_tests/test_decorators.py
4.0K	/testbed/tests/utils_tests/test_duration.py
8.0K	/testbed/tests/utils_tests/test_encoding.py
5.5K	/testbed/tests/utils_tests/test_feedgenerator.py
11K	/testbed/tests/utils_tests/test_functional.py
1.5K	/testbed/tests/utils_tests/test_hashable.py
14K	/testbed/tests/utils_tests/test_html.py
19K	/testbed/tests/utils_tests/test_http.py
4.0K	/testbed/tests/utils_tests/test_inspect.py
3.5K	/testbed/tests/utils_tests/test_ipv6.py
13K	/testbed/tests/utils_tests/test_jslex.py
16K	/testbed/tests/utils_tests/test_lazyobject.py
5.5K	/testbed/tests/utils_tests/test_lorem_ipsum.py
11K	/testbed/tests/utils_tests/test_module
9.0K	/testbed/tests/utils_tests/test_module_loading.py
512	/testbed/tests/utils_tests/test_no_submodule.py
7.5K	/testbed/tests/utils_tests/test_numberformat.py
1.5K	/testbed/tests/utils_tests/test_os_utils.py
2.0K	/testbed/tests/utils_tests/test_regex_helper.py
4.5K	/testbed/tests/utils_tests/test_safestring.py
512	/testbed/tests/utils_tests/test_simplelazyobject.py
8.5K	/testbed/tests/utils_tests/test_termcolors.py
14K	/testbed/tests/utils_tests/test_text.py
13K	/testbed/tests/utils_tests/test_timesince.py
9.5K	/testbed/tests/utils_tests/test_timezone.py
5.0K	/testbed/tests/utils_tests/test_tree.py
35K	/testbed/tests/utils_tests/traversal_archives
512	/testbed/tests/utils_tests/utils.py
42K	/testbed/tests/validation
1.0K	/testbed/tests/validation/__init__.py
6.5K	/testbed/tests/validation/models.py
4.0K	/testbed/tests/validation/test_constraints.py
1.0K	/testbed/tests/validation/test_custom_messages.py
4.5K	/testbed/tests/validation/test_error_messages.py
2.5K	/testbed/tests/validation/test_picklable.py
7.5K	/testbed/tests/validation/test_unique.py
1.5K	/testbed/tests/validation/test_validators.py
9.0K	/testbed/tests/validation/tests.py
37K	/testbed/tests/validators
0	/testbed/tests/validators/__init__.py
33K	/testbed/tests/validators/tests.py
6.5K	/testbed/tests/version
0	/testbed/tests/version/__init__.py
2.5K	/testbed/tests/version/tests.py
391K	/testbed/tests/view_tests
0	/testbed/tests/view_tests/__init__.py
18K	/testbed/tests/view_tests/app0
18K	/testbed/tests/view_tests/app1
18K	/testbed/tests/view_tests/app2
18K	/testbed/tests/view_tests/app3
18K	/testbed/tests/view_tests/app4
18K	/testbed/tests/view_tests/app5
23K	/testbed/tests/view_tests/custom_locale_path
512	/testbed/tests/view_tests/default_urls.py
1.5K	/testbed/tests/view_tests/generic_urls.py
73K	/testbed/tests/view_tests/locale
16K	/testbed/tests/view_tests/media
1.5K	/testbed/tests/view_tests/models.py
512	/testbed/tests/view_tests/regression_21530_urls.py
12K	/testbed/tests/view_tests/templates
4.5K	/testbed/tests/view_tests/templatetags
132K	/testbed/tests/view_tests/tests
3.5K	/testbed/tests/view_tests/urls.py
14K	/testbed/tests/view_tests/views.py
9.5K	/testbed/tests/wsgi
0	/testbed/tests/wsgi/__init__.py
4.5K	/testbed/tests/wsgi/tests.py
512	/testbed/tests/wsgi/urls.py
512	/testbed/tests/wsgi/wsgi.py
7.5K	/testbed/tests/xor_lookups
0	/testbed/tests/xor_lookups/__init__.py
512	/testbed/tests/xor_lookups/models.py
3.0K	/testbed/tests/xor_lookups/tests.py
</function_results>

Let's look at the existing apps tests:

<antml:function_calls>
<antml:invoke name="str_replace_based_edit_tool">
<antml:parameter name="command">view</antml:parameter>
<antml:parameter name="path">/testbed/tests/apps/tests.py</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>Here's the content of /testbed/tests/apps/tests.py with line numbers:
     1	import os
     2	
     3	from django.apps import AppConfig, apps
     4	from django.apps.registry import Apps
     5	from django.contrib.admin.models import LogEntry
     6	from django.core.exceptions import AppRegistryNotReady, ImproperlyConfigured
     7	from django.db import models
     8	from django.test import SimpleTestCase, override_settings
     9	from django.test.utils import extend_sys_path, isolate_apps
    10	
    11	from .models import SoAlternative, TotallyNormal, new_apps
    12	from .one_config_app.apps import OneConfig
    13	from .two_configs_one_default_app.apps import TwoConfig
    14	
    15	# Small list with a variety of cases for tests that iterate on installed apps.
    16	# Intentionally not in alphabetical order to check if the order is preserved.
    17	
    18	SOME_INSTALLED_APPS = [
    19	    "apps.apps.MyAdmin",
    20	    "apps.apps.MyAuth",
    21	    "django.contrib.contenttypes",
    22	    "django.contrib.sessions",
    23	    "django.contrib.messages",
    24	    "django.contrib.staticfiles",
    25	]
    26	
    27	SOME_INSTALLED_APPS_NAMES = [
    28	    "django.contrib.admin",
    29	    "django.contrib.auth",
    30	] + SOME_INSTALLED_APPS[2:]
    31	
    32	HERE = os.path.dirname(__file__)
    33	
    34	
    35	class AppsTests(SimpleTestCase):
    36	    def test_singleton_main(self):
    37	        """
    38	        Only one main registry can exist.
    39	        """
    40	        with self.assertRaises(RuntimeError):
    41	            Apps(installed_apps=None)
    42	
    43	    def test_ready(self):
    44	        """
    45	        Tests the ready property of the main registry.
    46	        """
    47	        # The main app registry is always ready when the tests run.
    48	        self.assertIs(apps.ready, True)
    49	        # Non-main app registries are populated in __init__.
    50	        self.assertIs(Apps().ready, True)
    51	        # The condition is set when apps are ready
    52	        self.assertIs(apps.ready_event.is_set(), True)
    53	        self.assertIs(Apps().ready_event.is_set(), True)
    54	
    55	    def test_bad_app_config(self):
    56	        """
    57	        Tests when INSTALLED_APPS contains an incorrect app config.
    58	        """
    59	        msg = "'apps.apps.BadConfig' must supply a name attribute."
    60	        with self.assertRaisesMessage(ImproperlyConfigured, msg):
    61	            with self.settings(INSTALLED_APPS=["apps.apps.BadConfig"]):
    62	                pass
    63	
    64	    def test_not_an_app_config(self):
    65	        """
    66	        Tests when INSTALLED_APPS contains a class that isn't an app config.
    67	        """
    68	        msg = "'apps.apps.NotAConfig' isn't a subclass of AppConfig."
    69	        with self.assertRaisesMessage(ImproperlyConfigured, msg):
    70	            with self.settings(INSTALLED_APPS=["apps.apps.NotAConfig"]):
    71	                pass
    72	
    73	    def test_no_such_app(self):
    74	        """
    75	        Tests when INSTALLED_APPS contains an app that doesn't exist, either
    76	        directly or via an app config.
    77	        """
    78	        with self.assertRaises(ImportError):
    79	            with self.settings(INSTALLED_APPS=["there is no such app"]):
    80	                pass
    81	        msg = (
    82	            "Cannot import 'there is no such app'. Check that "
    83	            "'apps.apps.NoSuchApp.name' is correct."
    84	        )
    85	        with self.assertRaisesMessage(ImproperlyConfigured, msg):
    86	            with self.settings(INSTALLED_APPS=["apps.apps.NoSuchApp"]):
    87	                pass
    88	
    89	    def test_no_such_app_config(self):
    90	        msg = "Module 'apps' does not contain a 'NoSuchConfig' class."
    91	        with self.assertRaisesMessage(ImportError, msg):
    92	            with self.settings(INSTALLED_APPS=["apps.NoSuchConfig"]):
    93	                pass
    94	
    95	    def test_no_such_app_config_with_choices(self):
    96	        msg = (
    97	            "Module 'apps.apps' does not contain a 'NoSuchConfig' class. "
    98	            "Choices are: 'BadConfig', 'ModelPKAppsConfig', 'MyAdmin', "
    99	            "'MyAuth', 'NoSuchApp', 'PlainAppsConfig', 'RelabeledAppsConfig'."
   100	        )
   101	        with self.assertRaisesMessage(ImportError, msg):
   102	            with self.settings(INSTALLED_APPS=["apps.apps.NoSuchConfig"]):
   103	                pass
   104	
   105	    def test_no_config_app(self):
   106	        """Load an app that doesn't provide an AppConfig class."""
   107	        with self.settings(INSTALLED_APPS=["apps.no_config_app"]):
   108	            config = apps.get_app_config("no_config_app")
   109	        self.assertIsInstance(config, AppConfig)
   110	
   111	    def test_one_config_app(self):
   112	        """Load an app that provides an AppConfig class."""
   113	        with self.settings(INSTALLED_APPS=["apps.one_config_app"]):
   114	            config = apps.get_app_config("one_config_app")
   115	        self.assertIsInstance(config, OneConfig)
   116	
   117	    def test_two_configs_app(self):
   118	        """Load an app that provides two AppConfig classes."""
   119	        with self.settings(INSTALLED_APPS=["apps.two_configs_app"]):
   120	            config = apps.get_app_config("two_configs_app")
   121	        self.assertIsInstance(config, AppConfig)
   122	
   123	    def test_two_default_configs_app(self):
   124	        """Load an app that provides two default AppConfig classes."""
   125	        msg = (
   126	            "'apps.two_default_configs_app.apps' declares more than one "
   127	            "default AppConfig: 'TwoConfig', 'TwoConfigBis'."
   128	        )
   129	        with self.assertRaisesMessage(RuntimeError, msg):
   130	            with self.settings(INSTALLED_APPS=["apps.two_default_configs_app"]):
   131	                pass
   132	
   133	    def test_two_configs_one_default_app(self):
   134	        """
   135	        Load an app that provides two AppConfig classes, one being the default.
   136	        """
   137	        with self.settings(INSTALLED_APPS=["apps.two_configs_one_default_app"]):
   138	            config = apps.get_app_config("two_configs_one_default_app")
   139	        self.assertIsInstance(config, TwoConfig)
   140	
   141	    @override_settings(INSTALLED_APPS=SOME_INSTALLED_APPS)
   142	    def test_get_app_configs(self):
   143	        """
   144	        Tests apps.get_app_configs().
   145	        """
   146	        app_configs = apps.get_app_configs()
   147	        self.assertEqual(
   148	            [app_config.name for app_config in app_configs], SOME_INSTALLED_APPS_NAMES
   149	        )
   150	
   151	    @override_settings(INSTALLED_APPS=SOME_INSTALLED_APPS)
   152	    def test_get_app_config(self):
   153	        """
   154	        Tests apps.get_app_config().
   155	        """
   156	        app_config = apps.get_app_config("admin")
   157	        self.assertEqual(app_config.name, "django.contrib.admin")
   158	
   159	        app_config = apps.get_app_config("staticfiles")
   160	        self.assertEqual(app_config.name, "django.contrib.staticfiles")
   161	
   162	        with self.assertRaises(LookupError):
   163	            apps.get_app_config("admindocs")
   164	
   165	        msg = "No installed app with label 'django.contrib.auth'. Did you mean 'myauth'"
   166	        with self.assertRaisesMessage(LookupError, msg):
   167	            apps.get_app_config("django.contrib.auth")
   168	
   169	    @override_settings(INSTALLED_APPS=SOME_INSTALLED_APPS)
   170	    def test_is_installed(self):
   171	        """
   172	        Tests apps.is_installed().
   173	        """
   174	        self.assertIs(apps.is_installed("django.contrib.admin"), True)
   175	        self.assertIs(apps.is_installed("django.contrib.auth"), True)
   176	        self.assertIs(apps.is_installed("django.contrib.staticfiles"), True)
   177	        self.assertIs(apps.is_installed("django.contrib.admindocs"), False)
   178	
   179	    @override_settings(INSTALLED_APPS=SOME_INSTALLED_APPS)
   180	    def test_get_model(self):
   181	        """
   182	        Tests apps.get_model().
   183	        """
   184	        self.assertEqual(apps.get_model("admin", "LogEntry"), LogEntry)
   185	        with self.assertRaises(LookupError):
   186	            apps.get_model("admin", "LogExit")
   187	
   188	        # App label is case-sensitive, Model name is case-insensitive.
   189	        self.assertEqual(apps.get_model("admin", "loGentrY"), LogEntry)
   190	        with self.assertRaises(LookupError):
   191	            apps.get_model("Admin", "LogEntry")
   192	
   193	        # A single argument is accepted.
   194	        self.assertEqual(apps.get_model("admin.LogEntry"), LogEntry)
   195	        with self.assertRaises(LookupError):
   196	            apps.get_model("admin.LogExit")
   197	        with self.assertRaises(ValueError):
   198	            apps.get_model("admin_LogEntry")
   199	
   200	    @override_settings(INSTALLED_APPS=["apps.apps.RelabeledAppsConfig"])
   201	    def test_relabeling(self):
   202	        self.assertEqual(apps.get_app_config("relabeled").name, "apps")
   203	
   204	    def test_duplicate_labels(self):
   205	        with self.assertRaisesMessage(
   206	            ImproperlyConfigured, "Application labels aren't unique"
   207	        ):
   208	            with self.settings(INSTALLED_APPS=["apps.apps.PlainAppsConfig", "apps"]):
   209	                pass
   210	
   211	    def test_duplicate_names(self):
   212	        with self.assertRaisesMessage(
   213	            ImproperlyConfigured, "Application names aren't unique"
   214	        ):
   215	            with self.settings(
	< truncated lines 216-316 >
   317	        """
   318	        apps.get_containing_app_config() should raise an exception if
   319	        apps.apps_ready isn't True.
   320	        """
   321	        apps.apps_ready = False
   322	        try:
   323	            with self.assertRaisesMessage(
   324	                AppRegistryNotReady, "Apps aren't loaded yet"
   325	            ):
   326	                apps.get_containing_app_config("foo")
   327	        finally:
   328	            apps.apps_ready = True
   329	
   330	    @isolate_apps("apps", kwarg_name="apps")
   331	    def test_lazy_model_operation(self, apps):
   332	        """
   333	        Tests apps.lazy_model_operation().
   334	        """
   335	        model_classes = []
   336	        initial_pending = set(apps._pending_operations)
   337	
   338	        def test_func(*models):
   339	            model_classes[:] = models
   340	
   341	        class LazyA(models.Model):
   342	            pass
   343	
   344	        # Test models appearing twice, and models appearing consecutively
   345	        model_keys = [
   346	            ("apps", model_name)
   347	            for model_name in ["lazya", "lazyb", "lazyb", "lazyc", "lazya"]
   348	        ]
   349	        apps.lazy_model_operation(test_func, *model_keys)
   350	
   351	        # LazyModelA shouldn't be waited on since it's already registered,
   352	        # and LazyModelC shouldn't be waited on until LazyModelB exists.
   353	        self.assertEqual(
   354	            set(apps._pending_operations) - initial_pending, {("apps", "lazyb")}
   355	        )
   356	
   357	        # Multiple operations can wait on the same model
   358	        apps.lazy_model_operation(test_func, ("apps", "lazyb"))
   359	
   360	        class LazyB(models.Model):
   361	            pass
   362	
   363	        self.assertEqual(model_classes, [LazyB])
   364	
   365	        # Now we are just waiting on LazyModelC.
   366	        self.assertEqual(
   367	            set(apps._pending_operations) - initial_pending, {("apps", "lazyc")}
   368	        )
   369	
   370	        class LazyC(models.Model):
   371	            pass
   372	
   373	        # Everything should be loaded - make sure the callback was executed properly.
   374	        self.assertEqual(model_classes, [LazyA, LazyB, LazyB, LazyC, LazyA])
   375	
   376	
   377	class Stub:
   378	    def __init__(self, **kwargs):
   379	        self.__dict__.update(kwargs)
   380	
   381	
   382	class AppConfigTests(SimpleTestCase):
   383	    """Unit tests for AppConfig class."""
   384	
   385	    def test_path_set_explicitly(self):
   386	        """If subclass sets path as class attr, no module attributes needed."""
   387	
   388	        class MyAppConfig(AppConfig):
   389	            path = "foo"
   390	
   391	        ac = MyAppConfig("label", Stub())
   392	
   393	        self.assertEqual(ac.path, "foo")
   394	
   395	    def test_explicit_path_overrides(self):
   396	        """If path set as class attr, overrides __path__ and __file__."""
   397	
   398	        class MyAppConfig(AppConfig):
   399	            path = "foo"
   400	
   401	        ac = MyAppConfig("label", Stub(__path__=["a"], __file__="b/__init__.py"))
   402	
   403	        self.assertEqual(ac.path, "foo")
   404	
   405	    def test_dunder_path(self):
   406	        """If single element in __path__, use it (in preference to __file__)."""
   407	        ac = AppConfig("label", Stub(__path__=["a"], __file__="b/__init__.py"))
   408	
   409	        self.assertEqual(ac.path, "a")
   410	
   411	    def test_no_dunder_path_fallback_to_dunder_file(self):
   412	        """If there is no __path__ attr, use __file__."""
   413	        ac = AppConfig("label", Stub(__file__="b/__init__.py"))
   414	
   415	        self.assertEqual(ac.path, "b")
   416	
   417	    def test_empty_dunder_path_fallback_to_dunder_file(self):
   418	        """If the __path__ attr is empty, use __file__ if set."""
   419	        ac = AppConfig("label", Stub(__path__=[], __file__="b/__init__.py"))
   420	
   421	        self.assertEqual(ac.path, "b")
   422	
   423	    def test_multiple_dunder_path_fallback_to_dunder_file(self):
   424	        """If the __path__ attr is length>1, use __file__ if set."""
   425	        ac = AppConfig("label", Stub(__path__=["a", "b"], __file__="c/__init__.py"))
   426	
   427	        self.assertEqual(ac.path, "c")
   428	
   429	    def test_no_dunder_path_or_dunder_file(self):
   430	        """If there is no __path__ or __file__, raise ImproperlyConfigured."""
   431	        with self.assertRaises(ImproperlyConfigured):
   432	            AppConfig("label", Stub())
   433	
   434	    def test_empty_dunder_path_no_dunder_file(self):
   435	        """If the __path__ attr is empty and there is no __file__, raise."""
   436	        with self.assertRaises(ImproperlyConfigured):
   437	            AppConfig("label", Stub(__path__=[]))
   438	
   439	    def test_multiple_dunder_path_no_dunder_file(self):
   440	        """If the __path__ attr is length>1 and there is no __file__, raise."""
   441	        with self.assertRaises(ImproperlyConfigured):
   442	            AppConfig("label", Stub(__path__=["a", "b"]))
   443	
