I'll help you implement the necessary changes to reduce Add/RemoveIndex migration operations when optimizing migrations. Let's start by exploring the repository structure to understand how Django handles migration operations.

<antml:function_calls>
<antml:invoke name="bash">
<antml:parameter name="command">find /testbed -type f -name "*.py" | grep -E "(migration|index)" | head -20</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>/testbed/tests/custom_migration_operations/__init__.py
/testbed/tests/custom_migration_operations/more_operations.py
/testbed/tests/custom_migration_operations/operations.py
/testbed/tests/migrations/test_migrations_plan/0003_third.py
/testbed/tests/migrations/test_migrations_plan/0001_initial.py
/testbed/tests/migrations/test_migrations_plan/__init__.py
/testbed/tests/migrations/test_migrations_plan/0002_second.py
/testbed/tests/migrations/test_migrations_plan/0004_fourth.py
/testbed/tests/migrations/test_migrations_plan/0005_fifth.py
/testbed/tests/migrations/test_migrations_empty/__init__.py
/testbed/tests/migrations/test_migrations_clashing_prefix/__init__.py
/testbed/tests/migrations/test_migrations_clashing_prefix/ab.py
/testbed/tests/migrations/test_migrations_clashing_prefix/a.py
/testbed/tests/migrations/test_multidb.py
/testbed/tests/migrations/test_migrations_squashed_extra/0003_third.py
/testbed/tests/migrations/test_migrations_squashed_extra/0001_initial.py
/testbed/tests/migrations/test_migrations_squashed_extra/__init__.py
/testbed/tests/migrations/test_migrations_squashed_extra/0001_squashed_0002.py
/testbed/tests/migrations/test_migrations_squashed_extra/0002_second.py
/testbed/tests/migrations/test_executor.py</function_results>

<antml:function_calls>
<antml:invoke name="bash">
<antml:parameter name="command">find /testbed -path "*/migrations/*" -name "*.py" | grep -E "(operation|optimizer)" | head -10</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>/testbed/tests/migrations/test_operations.py
/testbed/tests/migrations/test_migrations_atomic_operation/0001_initial.py
/testbed/tests/migrations/test_migrations_atomic_operation/__init__.py
/testbed/tests/migrations/test_optimizer.py
/testbed/tests/migrations/test_migrations_no_operations/0001_initial.py
/testbed/tests/migrations/test_migrations_no_operations/__init__.py
/testbed/django/db/migrations/optimizer.py
/testbed/django/db/migrations/operations/fields.py
/testbed/django/db/migrations/operations/__init__.py
/testbed/django/db/migrations/operations/base.py</function_results>

Let's look at the Django migrations structure:

<antml:function_calls>
<antml:invoke name="str_replace_based_edit_tool">
<antml:parameter name="command">view</antml:parameter>
<antml:parameter name="path">/testbed/django/db/migrations</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>Here're the files and directories up to 2 levels deep in /testbed/django/db/migrations, excluding hidden items and node_modules:
302K	/testbed/django/db/migrations
    print()
    
    # Test RemoveIndex followed by AddIndex
    operations = [
        migrations.RemoveIndex('TestModel', 'test_index'),
        migrations.AddIndex('TestModel', index),
    ]
    
    result = optimizer.optimize(operations, 'test_app')
    
    print("RemoveIndex + AddIndex:")
    print(f"Original: {len(operations)} operations")
    print(f"Optimized: {len(result)} operations")
    for op in result:
        print(f"  - {op}")
    print()
    
    # Test AddIndex followed by AddIndex with same name
    index2 = models.Index(fields=['age'], name='test_index')
    operations = [
        migrations.AddIndex('TestModel', index),
        migrations.AddIndex('TestModel', index2),
    ]
    
    result = optimizer.optimize(operations, 'test_app')
    
    print("AddIndex + AddIndex (same name):")
    print(f"Original: {len(operations)} operations")
    print(f"Optimized: {len(result)} operations")
    for op in result:
        print(f"  - {op}")
    print()

if __name__ == '__main__':
    test_index_optimization()
</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>New file created successfully at /testbed/test_index_optimization.py</function_results>

<antml:function_calls>
<antml:invoke name="bash">
<antml:parameter name="command">cd /testbed && python test_index_optimization.py</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>AddIndex + RemoveIndex:
Original: 2 operations
Optimized: 2 operations
  - <AddIndex 'TestModel', <Index: fields=['name'] name='test_index'>>
  - <RemoveIndex 'TestModel', 'test_index'>

RemoveIndex + AddIndex:
Original: 2 operations
Optimized: 2 operations
  - <RemoveIndex 'TestModel', 'test_index'>
  - <AddIndex 'TestModel', <Index: fields=['name'] name='test_index'>>

AddIndex + AddIndex (same name):
Original: 2 operations
Optimized: 2 operations
  - <AddIndex 'TestModel', <Index: fields=['name'] name='test_index'>>
  - <AddIndex 'TestModel', <Index: fields=['age'] name='test_index'>>
</function_results>

As expected, there's no optimization happening currently. Now let me look at how other operations implement the reduce method. Let me check the DeleteModel reduce method:

<antml:function_calls>
<antml:invoke name="bash">
<antml:parameter name="command">grep -A 20 "class DeleteModel" /testbed/django/db/migrations/operations/models.py</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>class DeleteModel(ModelOperation):
    """Drop a model's table."""

    def deconstruct(self):
        kwargs = {
            "name": self.name,
        }
        return (self.__class__.__qualname__, [], kwargs)

    def state_forwards(self, app_label, state):
        state.remove_model(app_label, self.name_lower)

    def database_forwards(self, app_label, schema_editor, from_state, to_state):
        model = from_state.apps.get_model(app_label, self.name)
        if self.allow_migrate_model(schema_editor.connection.alias, model):
            schema_editor.delete_model(model)

    def database_backwards(self, app_label, schema_editor, from_state, to_state):
        model = to_state.apps.get_model(app_label, self.name)
        if self.allow_migrate_model(schema_editor.connection.alias, model):
            schema_editor.create_model(model)</function_results>

Let me look for the reduce method in DeleteModel:

<antml:function_calls>
<antml:invoke name="bash">
<antml:parameter name="command">grep -A 30 -B 5 "def reduce" /testbed/django/db/migrations/operations/models.py | grep -A 30 -B 5 "DeleteModel"</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>                return True
        return False

    def reduce(self, operation, app_label):
        if (
            isinstance(operation, DeleteModel)
            and self.name_lower == operation.name_lower
            and not self.options.get("proxy", False)
        ):
            return []
        elif (
            isinstance(operation, RenameModel)
            and self.name_lower == operation.old_name_lower
        ):
            return [
                CreateModel(
                    operation.new_name,
                    fields=self.fields,
                    options=self.options,
                    bases=self.bases,
                    managers=self.managers,
                ),
            ]
        elif (
            isinstance(operation, AlterModelOptions)
            and self.name_lower == operation.name_lower
        ):
            options = {**self.options, **operation.options}
            for key in operation.ALTER_OPTION_KEYS:
                if key not in operation.options:
                    options.pop(key, None)
            return [
                CreateModel(
                    self.name,
--

--


class ModelOptionOperation(ModelOperation):
    def reduce(self, operation, app_label):
        if (
            isinstance(operation, (self.__class__, DeleteModel))
            and self.name_lower == operation.name_lower
        ):
            return [operation]
        return super().reduce(operation, app_label)


class AlterModelTable(ModelOptionOperation):
    """Rename a model's table."""

    def __init__(self, name, table):
        self.table = table
        super().__init__(name)

    def deconstruct(self):
        kwargs = {
            "name": self.name,
            "table": self.table,
        }
        return (self.__class__.__qualname__, [], kwargs)

    def state_forwards(self, app_label, state):
        state.alter_model_options(app_label, self.name_lower, {"db_table": self.table})

    def database_forwards(self, app_label, schema_editor, from_state, to_state):
        new_model = to_state.apps.get_model(app_label, self.name)
        if self.allow_migrate_model(schema_editor.connection.alias, new_model):
            old_model = from_state.apps.get_model(app_label, self.name)
            schema_editor.alter_db_table(
--
            self.model_name_lower,</function_results>

Now I understand the pattern. Let me implement the reduce methods for AddIndex and RemoveIndex. First, let me check if there are any existing reduce methods in the IndexOperation class:

<antml:function_calls>
<antml:invoke name="str_replace_based_edit_tool">
<antml:parameter name="command">view</antml:parameter>
<antml:parameter name="path">/testbed/django/db/migrations/operations/models.py</antml:parameter>
<antml:parameter name="view_range">[803, 870]</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>Here's the content of /testbed/django/db/migrations/operations/models.py with line numbers (which has a total of 1138 lines) with view_range=[803, 870]:
   803	class IndexOperation(Operation):
   804	    option_name = "indexes"
   805	
   806	    @cached_property
   807	    def model_name_lower(self):
   808	        return self.model_name.lower()
   809	
   810	
   811	class AddIndex(IndexOperation):
   812	    """Add an index on a model."""
   813	
   814	    def __init__(self, model_name, index):
   815	        self.model_name = model_name
   816	        if not index.name:
   817	            raise ValueError(
   818	                "Indexes passed to AddIndex operations require a name "
   819	                "argument. %r doesn't have one." % index
   820	            )
   821	        self.index = index
   822	
   823	    def state_forwards(self, app_label, state):
   824	        state.add_index(app_label, self.model_name_lower, self.index)
   825	
   826	    def database_forwards(self, app_label, schema_editor, from_state, to_state):
   827	        model = to_state.apps.get_model(app_label, self.model_name)
   828	        if self.allow_migrate_model(schema_editor.connection.alias, model):
   829	            schema_editor.add_index(model, self.index)
   830	
   831	    def database_backwards(self, app_label, schema_editor, from_state, to_state):
   832	        model = from_state.apps.get_model(app_label, self.model_name)
   833	        if self.allow_migrate_model(schema_editor.connection.alias, model):
   834	            schema_editor.remove_index(model, self.index)
   835	
   836	    def deconstruct(self):
   837	        kwargs = {
   838	            "model_name": self.model_name,
   839	            "index": self.index,
   840	        }
   841	        return (
   842	            self.__class__.__qualname__,
   843	            [],
   844	            kwargs,
   845	        )
   846	
   847	    def describe(self):
   848	        if self.index.expressions:
   849	            return "Create index %s on %s on model %s" % (
   850	                self.index.name,
   851	                ", ".join([str(expression) for expression in self.index.expressions]),
   852	                self.model_name,
   853	            )
   854	        return "Create index %s on field(s) %s of model %s" % (
   855	            self.index.name,
   856	            ", ".join(self.index.fields),
   857	            self.model_name,
   858	        )
   859	
   860	    @property
   861	    def migration_name_fragment(self):
   862	        return "%s_%s" % (self.model_name_lower, self.index.name.lower())
   863	
   864	
   865	class RemoveIndex(IndexOperation):
   866	    """Remove an index from a model."""
   867	
   868	    def __init__(self, model_name, name):
   869	        self.model_name = model_name
   870	        self.name = name
</function_results>

Now let me implement the reduce methods for both AddIndex and RemoveIndex. I'll add them after the existing methods:

<antml:function_calls>
<antml:invoke name="str_replace_based_edit_tool">
<antml:parameter name="command">str_replace</antml:parameter>
<antml:parameter name="path">/testbed/django/db/migrations/operations/models.py</antml:parameter>
<antml:parameter name="old_str">    @property
    def migration_name_fragment(self):
        return "%s_%s" % (self.model_name_lower, self.index.name.lower())</antml:parameter>
<antml:parameter name="new_str">    @property
    def migration_name_fragment(self):
        return "%s_%s" % (self.model_name_lower, self.index.name.lower())

    def reduce(self, operation, app_label):
        if (
            isinstance(operation, RemoveIndex)
            and self.model_name_lower == operation.model_name_lower
            and self.index.name == operation.name
        ):
            return []
        elif (
            isinstance(operation, AddIndex)
            and self.model_name_lower == operation.model_name_lower
            and self.index.name == operation.index.name
        ):
            return [operation]
        return super().reduce(operation, app_label)</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>The file /testbed/django/db/migrations/operations/models.py has been edited successfully.</function_results>

<antml:function_calls>
<antml:invoke name="str_replace_based_edit_tool">
<antml:parameter name="command">str_replace</antml:parameter>
<antml:parameter name="path">/testbed/django/db/migrations/operations/models.py</antml:parameter>
<antml:parameter name="old_str">    @property
    def migration_name_fragment(self):
        return "remove_%s_%s" % (self.model_name_lower, self.name.lower())</antml:parameter>
<antml:parameter name="new_str">    @property
    def migration_name_fragment(self):
        return "remove_%s_%s" % (self.model_name_lower, self.name.lower())

    def reduce(self, operation, app_label):
        if (
            isinstance(operation, AddIndex)
            and self.model_name_lower == operation.model_name_lower
            and self.name == operation.index.name
        ):
            return []
        elif (
            isinstance(operation, RemoveIndex)
            and self.model_name_lower == operation.model_name_lower
            and self.name == operation.name
        ):
            return [self]
        return super().reduce(operation, app_label)</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>
<error>No replacement was performed. Multiple occurrences of old_str `    @property
    def migration_name_fragment(self):
        return "remove_%s_%s" % (self.model_name_lower, self.name.lower())` in lines: [918, 1150]. Please ensure it is unique</error>
</function_results>

Let me be more specific and find the RemoveIndex class:

<antml:function_calls>
<antml:invoke name="str_replace_based_edit_tool">
<antml:parameter name="command">view</antml:parameter>
<antml:parameter name="path">/testbed/django/db/migrations/operations/models.py</antml:parameter>
<antml:parameter name="view_range">[915, 925]</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>Here's the content of /testbed/django/db/migrations/operations/models.py with line numbers (which has a total of 1153 lines) with view_range=[915, 925]:
   915	    def describe(self):
   916	        return "Remove index %s from %s" % (self.name, self.model_name)
   917	
   918	    @property
   919	    def migration_name_fragment(self):
   920	        return "remove_%s_%s" % (self.model_name_lower, self.name.lower())
   921	
   922	
   923	class RenameIndex(IndexOperation):
   924	    """Rename an index."""
   925	
</function_results>

<antml:function_calls>
<antml:invoke name="str_replace_based_edit_tool">
<antml:parameter name="command">str_replace</antml:parameter>
<antml:parameter name="path">/testbed/django/db/migrations/operations/models.py</antml:parameter>
<antml:parameter name="old_str">    def describe(self):
        return "Remove index %s from %s" % (self.name, self.model_name)

    @property
    def migration_name_fragment(self):
        return "remove_%s_%s" % (self.model_name_lower, self.name.lower())</antml:parameter>
<antml:parameter name="new_str">    def describe(self):
        return "Remove index %s from %s" % (self.name, self.model_name)

    @property
    def migration_name_fragment(self):
        return "remove_%s_%s" % (self.model_name_lower, self.name.lower())

    def reduce(self, operation, app_label):
        if (
            isinstance(operation, AddIndex)
            and self.model_name_lower == operation.model_name_lower
            and self.name == operation.index.name
        ):
            return []
        elif (
            isinstance(operation, RemoveIndex)
            and self.model_name_lower == operation.model_name_lower
            and self.name == operation.name
        ):
            return [self]
        return super().reduce(operation, app_label)</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>The file /testbed/django/db/migrations/operations/models.py has been edited successfully.</function_results>

Now let's test our implementation:

<antml:function_calls>
<antml:invoke name="bash">
<antml:parameter name="command">cd /testbed && python test_index_optimization.py</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>AddIndex + RemoveIndex:
Original: 2 operations
Optimized: 0 operations

RemoveIndex + AddIndex:
Original: 2 operations
Optimized: 0 operations

AddIndex + AddIndex (same name):
Original: 2 operations
Optimized: 1 operations
  - <AddIndex 'TestModel', <Index: fields=['age'] name='test_index'>>
</function_results>

Great! Our optimization is working. Let me create a more comprehensive test to make sure we handle edge cases correctly:

<antml:function_calls>
<antml:invoke name="str_replace_based_edit_tool">
<antml:parameter name="command">create</antml:parameter>
<antml:parameter name="path">/testbed/test_comprehensive_index_optimization.py</antml:parameter>
<antml:parameter name="file_text">#!/usr/bin/env python

import os
import sys
import django
from django.conf import settings

# Add the testbed to the Python path
sys.path.insert(0, '/testbed')

# Configure Django settings
os.environ.setdefault('DJANGO_SETTINGS_MODULE', 'test_settings')

if not settings.configured:
    settings.configure(
        DEBUG=True,
        DATABASES={
            'default': {
                'ENGINE': 'django.db.backends.sqlite3',
                'NAME': ':memory:',
            }
        },
        INSTALLED_APPS=[
            'django.contrib.contenttypes',
            'django.contrib.auth',
        ],
        SECRET_KEY='test-secret-key',
    )

django.setup()

from django.db import models, migrations
from django.db.migrations.optimizer import MigrationOptimizer

def test_comprehensive_index_optimization():
    optimizer = MigrationOptimizer()
    
    # Create test indexes
    index1 = models.Index(fields=['name'], name='test_index')
    index2 = models.Index(fields=['age'], name='test_index')  # Same name, different fields
    index3 = models.Index(fields=['email'], name='email_index')
    
    print("=== Test 1: AddIndex + RemoveIndex (same index name) ===")
    operations = [
        migrations.AddIndex('TestModel', index1),
        migrations.RemoveIndex('TestModel', 'test_index'),
    ]
    result = optimizer.optimize(operations, 'test_app')
    print(f"Original: {len(operations)} operations -> Optimized: {len(result)} operations")
    assert len(result) == 0, "Should optimize to empty list"
    print("✓ PASS\n")
    
    print("=== Test 2: RemoveIndex + AddIndex (same index name) ===")
    operations = [
        migrations.RemoveIndex('TestModel', 'test_index'),
        migrations.AddIndex('TestModel', index1),
    ]
    result = optimizer.optimize(operations, 'test_app')
    print(f"Original: {len(operations)} operations -> Optimized: {len(result)} operations")
    assert len(result) == 0, "Should optimize to empty list"
    print("✓ PASS\n")
    
    print("=== Test 3: AddIndex + AddIndex (same name) ===")
    operations = [
        migrations.AddIndex('TestModel', index1),
        migrations.AddIndex('TestModel', index2),  # Same name, different fields
    ]
    result = optimizer.optimize(operations, 'test_app')
    print(f"Original: {len(operations)} operations -> Optimized: {len(result)} operations")
    assert len(result) == 1, "Should keep only the second AddIndex"
    assert result[0].index.fields == ['age'], "Should keep the second index"
    print("✓ PASS\n")
    
    print("=== Test 4: RemoveIndex + RemoveIndex (same name) ===")
    operations = [
        migrations.RemoveIndex('TestModel', 'test_index'),
        migrations.RemoveIndex('TestModel', 'test_index'),
    ]
    result = optimizer.optimize(operations, 'test_app')
    print(f"Original: {len(operations)} operations -> Optimized: {len(result)} operations")
    assert len(result) == 1, "Should keep only the first RemoveIndex"
    print("✓ PASS\n")
    
    print("=== Test 5: Different models (should not optimize) ===")
    operations = [
        migrations.AddIndex('TestModel1', index1),
        migrations.RemoveIndex('TestModel2', 'test_index'),
    ]
    result = optimizer.optimize(operations, 'test_app')
    print(f"Original: {len(operations)} operations -> Optimized: {len(result)} operations")
    assert len(result) == 2, "Should not optimize across different models"
    print("✓ PASS\n")
    
    print("=== Test 6: Different index names (should not optimize) ===")
    operations = [
        migrations.AddIndex('TestModel', index1),
        migrations.RemoveIndex('TestModel', 'email_index'),
    ]
    result = optimizer.optimize(operations, 'test_app')
    print(f"Original: {len(operations)} operations -> Optimized: {len(result)} operations")
    assert len(result) == 2, "Should not optimize different index names"
    print("✓ PASS\n")
    
    print("=== Test 7: Complex sequence ===")
    operations = [
        migrations.AddIndex('TestModel', index1),
        migrations.AddIndex('TestModel', index3),
        migrations.RemoveIndex('TestModel', 'test_index'),
        migrations.AddIndex('TestModel', index2),  # Same name as first, different fields
        migrations.RemoveIndex('TestModel', 'email_index'),
    ]
    result = optimizer.optimize(operations, 'test_app')
    print(f"Original: {len(operations)} operations -> Optimized: {len(result)} operations")
    print("Remaining operations:")
    for op in result:
        print(f"  - {op}")
    # Should have: AddIndex(index2) - the first AddIndex and RemoveIndex cancel out,
    # AddIndex(index3) and RemoveIndex('email_index') cancel out
    assert len(result) == 1, "Should optimize to 1 operation"
    assert isinstance(result[0], migrations.AddIndex), "Should be AddIndex"
    assert result[0].index.fields == ['age'], "Should be the second index with age field"
    print("✓ PASS\n")
    
    print("=== All tests passed! ===")

if __name__ == '__main__':
    test_comprehensive_index_optimization()
</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>New file created successfully at /testbed/test_comprehensive_index_optimization.py</function_results>

<antml:function_calls>
<antml:invoke name="bash">
<antml:parameter name="command">cd /testbed && python test_comprehensive_index_optimization.py</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>
<output>=== Test 1: AddIndex + RemoveIndex (same index name) ===
Original: 2 operations -> Optimized: 0 operations
✓ PASS

=== Test 2: RemoveIndex + AddIndex (same index name) ===
Original: 2 operations -> Optimized: 0 operations
✓ PASS

=== Test 3: AddIndex + AddIndex (same name) ===
Original: 2 operations -> Optimized: 1 operations
✓ PASS

=== Test 4: RemoveIndex + RemoveIndex (same name) ===
Original: 2 operations -> Optimized: 1 operations
✓ PASS

=== Test 5: Different models (should not optimize) ===
Original: 2 operations -> Optimized: 2 operations
✓ PASS

=== Test 6: Different index names (should not optimize) ===
Original: 2 operations -> Optimized: 2 operations
✓ PASS

=== Test 7: Complex sequence ===
Original: 5 operations -> Optimized: 1 operations
Remaining operations:
  - <AddIndex 'TestModel', <Index: fields=['name'] name='test_index'>></output>
<error>Traceback (most recent call last):
  File "/testbed/test_comprehensive_index_optimization.py", line 127, in <module>
    test_comprehensive_index_optimization()
  File "/testbed/test_comprehensive_index_optimization.py", line 121, in test_comprehensive_index_optimization
    assert result[0].index.fields == ['age'], "Should be the second index with age field"
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
AssertionError: Should be the second index with age field</error>
</function_results>

There's an issue with my complex test case. Let me debug this:

<antml:function_calls>
<antml:invoke name="str_replace_based_edit_tool">
<antml:parameter name="command">create</antml:parameter>
<antml:parameter name="path">/testbed/debug_complex_case.py</antml:parameter>
<antml:parameter name="file_text">#!/usr/bin/env python

import os
import sys
import django
from django.conf import settings

# Add the testbed to the Python path
sys.path.insert(0, '/testbed')

# Configure Django settings
os.environ.setdefault('DJANGO_SETTINGS_MODULE', 'test_settings')

if not settings.configured:
    settings.configure(
        DEBUG=True,
        DATABASES={
            'default': {
                'ENGINE': 'django.db.backends.sqlite3',
                'NAME': ':memory:',
            }
        },
        INSTALLED_APPS=[
            'django.contrib.contenttypes',
            'django.contrib.auth',
        ],
        SECRET_KEY='test-secret-key',
    )

django.setup()

from django.db import models, migrations
from django.db.migrations.optimizer import MigrationOptimizer

def debug_complex_case():
    optimizer = MigrationOptimizer()
    
    # Create test indexes
    index1 = models.Index(fields=['name'], name='test_index')
    index2 = models.Index(fields=['age'], name='test_index')  # Same name, different fields
    index3 = models.Index(fields=['email'], name='email_index')
    
    print("=== Debug Complex sequence ===")
    operations = [
        migrations.AddIndex('TestModel', index1),      # 0: Add test_index (name)
        migrations.AddIndex('TestModel', index3),      # 1: Add email_index (email)
        migrations.RemoveIndex('TestModel', 'test_index'),  # 2: Remove test_index
        migrations.AddIndex('TestModel', index2),      # 3: Add test_index (age)
        migrations.RemoveIndex('TestModel', 'email_index'), # 4: Remove email_index
    ]
    
    print("Original operations:")
    for i, op in enumerate(operations):
        print(f"  {i}: {op}")
    
    result = optimizer.optimize(operations, 'test_app')
    print(f"\nOptimized to {len(result)} operations:")
    for i, op in enumerate(result):
        print(f"  {i}: {op}")
        if hasattr(op, 'index'):
            print(f"     Index fields: {op.index.fields}")

if __name__ == '__main__':
    debug_complex_case()
</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>New file created successfully at /testbed/debug_complex_case.py</function_results>

<antml:function_calls>
<antml:invoke name="bash">
<antml:parameter name="command">cd /testbed && python debug_complex_case.py</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>=== Debug Complex sequence ===
Original operations:
  0: <AddIndex 'TestModel', <Index: fields=['name'] name='test_index'>>
  1: <AddIndex 'TestModel', <Index: fields=['email'] name='email_index'>>
  2: <RemoveIndex 'TestModel', 'test_index'>
  3: <AddIndex 'TestModel', <Index: fields=['age'] name='test_index'>>
  4: <RemoveIndex 'TestModel', 'email_index'>

Optimized to 1 operations:
  0: <AddIndex 'TestModel', <Index: fields=['name'] name='test_index'>>
     Index fields: ['name']</function_results>

I see the issue. The optimizer is working left-to-right, so:
1. AddIndex(name) + AddIndex(email) → AddIndex(name), AddIndex(email)
2. AddIndex(name) + RemoveIndex(test_index) → [] (cancels out)
3. AddIndex(email) + AddIndex(age) → AddIndex(email), AddIndex(age) (different names, no optimization)
4. AddIndex(email) + RemoveIndex(email_index) → [] (cancels out)
5. Result: AddIndex(age)

But the optimizer is not doing what I expected. Let me check how the optimizer works more carefully. Let me trace through step by step:

<antml:function_calls>
<antml:invoke name="str_replace_based_edit_tool">
<antml:parameter name="command">create</antml:parameter>
<antml:parameter name="path">/testbed/debug_optimizer_steps.py</antml:parameter>
<antml:parameter name="file_text">#!/usr/bin/env python

import os
import sys
import django
from django.conf import settings

# Add the testbed to the Python path
sys.path.insert(0, '/testbed')

# Configure Django settings
os.environ.setdefault('DJANGO_SETTINGS_MODULE', 'test_settings')

if not settings.configured:
    settings.configure(
        DEBUG=True,
        DATABASES={
            'default': {
                'ENGINE': 'django.db.backends.sqlite3',
                'NAME': ':memory:',
            }
        },
        INSTALLED_APPS=[
            'django.contrib.contenttypes',
            'django.contrib.auth',
        ],
        SECRET_KEY='test-secret-key',
    )

django.setup()

from django.db import models, migrations
from django.db.migrations.optimizer import MigrationOptimizer

def debug_optimizer_steps():
    # Create test indexes
    index1 = models.Index(fields=['name'], name='test_index')
    index2 = models.Index(fields=['age'], name='test_index')  # Same name, different fields
    
    print("=== Simple case: AddIndex + RemoveIndex ===")
    operations = [
        migrations.AddIndex('TestModel', index1),      # 0: Add test_index (name)
        migrations.RemoveIndex('TestModel', 'test_index'),  # 1: Remove test_index
    ]
    
    print("Original operations:")
    for i, op in enumerate(operations):
        print(f"  {i}: {op}")
    
    # Test the reduce method directly
    print("\nTesting reduce method directly:")
    result = operations[0].reduce(operations[1], 'test_app')
    print(f"AddIndex.reduce(RemoveIndex) = {result}")
    
    optimizer = MigrationOptimizer()
    result = optimizer.optimize(operations, 'test_app')
    print(f"\nOptimized to {len(result)} operations:")
    for i, op in enumerate(result):
        print(f"  {i}: {op}")
    
    print("\n=== Case: AddIndex + AddIndex (same name) ===")
    operations = [
        migrations.AddIndex('TestModel', index1),      # 0: Add test_index (name)
        migrations.AddIndex('TestModel', index2),      # 1: Add test_index (age)
    ]
    
    print("Original operations:")
    for i, op in enumerate(operations):
        print(f"  {i}: {op}")
    
    # Test the reduce method directly
    print("\nTesting reduce method directly:")
    result = operations[0].reduce(operations[1], 'test_app')
    print(f"AddIndex.reduce(AddIndex) = {result}")
    
    optimizer = MigrationOptimizer()
    result = optimizer.optimize(operations, 'test_app')
    print(f"\nOptimized to {len(result)} operations:")
    for i, op in enumerate(result):
        print(f"  {i}: {op}")
        if hasattr(op, 'index'):
            print(f"     Index fields: {op.index.fields}")

if __name__ == '__main__':
    debug_optimizer_steps()
</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>New file created successfully at /testbed/debug_optimizer_steps.py</function_results>

<antml:function_calls>
<antml:invoke name="bash">
<antml:parameter name="command">cd /testbed && python debug_optimizer_steps.py</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>=== Simple case: AddIndex + RemoveIndex ===
Original operations:
  0: <AddIndex 'TestModel', <Index: fields=['name'] name='test_index'>>
  1: <RemoveIndex 'TestModel', 'test_index'>

Testing reduce method directly:
AddIndex.reduce(RemoveIndex) = []

Optimized to 0 operations:

=== Case: AddIndex + AddIndex (same name) ===
Original operations:
  0: <AddIndex 'TestModel', <Index: fields=['name'] name='test_index'>>
  1: <AddIndex 'TestModel', <Index: fields=['age'] name='test_index'>>

Testing reduce method directly:
AddIndex.reduce(AddIndex) = [<AddIndex 'TestModel', <Index: fields=['age'] name='test_index'>>]

Optimized to 1 operations:
  0: <AddIndex 'TestModel', <Index: fields=['age'] name='test_index'>>
     Index fields: ['age']</function_results>

Good! The basic cases are working correctly. Now let me understand why the complex case isn't working as expected. Let me look at the optimizer logic more carefully. The issue might be that the optimizer processes operations sequentially and the order matters. Let me create a simpler test case:

<antml:function_calls>
<antml:invoke name="str_replace_based_edit_tool">
<antml:parameter name="command">create</antml:parameter>
<antml:parameter name="path">/testbed/debug_simple_sequence.py</antml:parameter>
<antml:parameter name="file_text">#!/usr/bin/env python

import os
import sys
import django
from django.conf import settings

# Add the testbed to the Python path
sys.path.insert(0, '/testbed')

# Configure Django settings
os.environ.setdefault('DJANGO_SETTINGS_MODULE', 'test_settings')

if not settings.configured:
    settings.configure(
        DEBUG=True,
        DATABASES={
            'default': {
                'ENGINE': 'django.db.backends.sqlite3',
                'NAME': ':memory:',
            }
        },
        INSTALLED_APPS=[
            'django.contrib.contenttypes',
            'django.contrib.auth',
        ],
        SECRET_KEY='test-secret-key',
    )

django.setup()

from django.db import models, migrations
from django.db.migrations.optimizer import MigrationOptimizer

def debug_simple_sequence():
    # Create test indexes
    index1 = models.Index(fields=['name'], name='test_index')
    index2 = models.Index(fields=['age'], name='test_index')  # Same name, different fields
    
    print("=== Case: AddIndex + RemoveIndex + AddIndex ===")
    operations = [
        migrations.AddIndex('TestModel', index1),      # 0: Add test_index (name)
        migrations.RemoveIndex('TestModel', 'test_index'),  # 1: Remove test_index
        migrations.AddIndex('TestModel', index2),      # 2: Add test_index (age)
    ]
    
    print("Original operations:")
    for i, op in enumerate(operations):
        print(f"  {i}: {op}")
        if hasattr(op, 'index'):
            print(f"     Index fields: {op.index.fields}")
    
    optimizer = MigrationOptimizer()
    result = optimizer.optimize(operations, 'test_app')
    print(f"\nOptimized to {len(result)} operations:")
    for i, op in enumerate(result):
