I'll start by exploring the repository structure to understand how the SI unit system and dimension handling works.

<antml:function_calls>
<antml:invoke name="bash">
<antml:parameter name="command">find /testbed -type f -name "*.py" | grep -E "(units|dimension)" | head -20</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>/testbed/sympy/core/tests/test_multidimensional.py
/testbed/sympy/core/multidimensional.py
/testbed/sympy/physics/units/unitsystem.py
/testbed/sympy/physics/units/__init__.py
/testbed/sympy/physics/units/tests/__init__.py
/testbed/sympy/physics/units/tests/test_quantities.py
/testbed/sympy/physics/units/tests/test_prefixes.py
/testbed/sympy/physics/units/tests/test_util.py
/testbed/sympy/physics/units/tests/test_unitsystem.py
/testbed/sympy/physics/units/tests/test_dimensionsystem.py
/testbed/sympy/physics/units/tests/test_unit_system_cgs_gauss.py
/testbed/sympy/physics/units/tests/test_dimensions.py
/testbed/sympy/physics/units/dimensions.py
/testbed/sympy/physics/units/definitions/__init__.py
/testbed/sympy/physics/units/definitions/dimension_definitions.py
/testbed/sympy/physics/units/definitions/unit_definitions.py
/testbed/sympy/physics/units/quantities.py
/testbed/sympy/physics/units/systems/cgs.py
/testbed/sympy/physics/units/systems/__init__.py
/testbed/sympy/physics/units/systems/mksa.py</function_results>

<antml:function_calls>
<antml:invoke name="bash">
<antml:parameter name="command">find /testbed -type f -name "*.py" | grep -E "si\.py"</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>/testbed/sympy/physics/units/systems/si.py</function_results>

Let's look at the SI system implementation:

<antml:function_calls>
<antml:invoke name="str_replace_based_edit_tool">
<antml:parameter name="command">view</antml:parameter>
<antml:parameter name="path">/testbed/sympy/physics/units/systems</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>Here're the files and directories up to 2 levels deep in /testbed/sympy/physics/units/systems, excluding hidden items and node_modules:
35K	/testbed/sympy/physics/units/systems
   202	            return super().__add__(other)
   203	        return self
   204	
   205	    def __radd__(self, other):
   206	        return self.__add__(other)
   207	
   208	    def __sub__(self, other):
   209	        # there is no notion of ordering (or magnitude) among dimension,
   210	        # subtraction is equivalent to addition when the operation is legal
   211	        return self + other
   212	
   213	    def __rsub__(self, other):
   214	        # there is no notion of ordering (or magnitude) among dimension,
   215	        # subtraction is equivalent to addition when the operation is legal
   216	        return self + other
   217	
   218	    def __pow__(self, other):
   219	        return self._eval_power(other)
   220	
   221	    def _eval_power(self, other):
   222	        other = sympify(other)
   223	        return Dimension(self.name**other)
   224	
   225	    def __mul__(self, other):
   226	        from sympy.physics.units.quantities import Quantity
   227	        if isinstance(other, Basic):
   228	            if other.has(Quantity):
   229	                raise TypeError("cannot sum dimension and quantity")
   230	            if isinstance(other, Dimension):
   231	                return Dimension(self.name*other.name)
   232	            if not other.free_symbols:  # other.is_number cannot be used
   233	                return self
	< truncated lines 234-342 >
   343	        dimensional_dependencies = Dict({i: Dict(j) for i, j in dimensional_dependencies.items()})
   344	        obj = Basic.__new__(cls, base_dims, derived_dims, dimensional_dependencies)
   345	        return obj
   346	
   347	    @property
   348	    def base_dims(self):
   349	        return self.args[0]
   350	
   351	    @property
   352	    def derived_dims(self):
   353	        return self.args[1]
   354	
   355	    @property
   356	    def dimensional_dependencies(self):
   357	        return self.args[2]
   358	
   359	    def _get_dimensional_dependencies_for_name(self, dimension):
   360	        if isinstance(dimension, str):
   361	            dimension = Dimension(Symbol(dimension))
   362	        elif not isinstance(dimension, Dimension):
   363	            dimension = Dimension(dimension)
   364	
   365	        if dimension.name.is_Symbol:
   366	            # Dimensions not included in the dependencies are considered
   367	            # as base dimensions:
   368	            return dict(self.dimensional_dependencies.get(dimension, {dimension: 1}))
   369	
   370	        if dimension.name.is_number or dimension.name.is_NumberSymbol:
   371	            return {}
   372	
   373	        get_for_name = self._get_dimensional_dependencies_for_name
   374	
   375	        if dimension.name.is_Mul:
   376	            ret = collections.defaultdict(int)
   377	            dicts = [get_for_name(i) for i in dimension.name.args]
   378	            for d in dicts:
   379	                for k, v in d.items():
   380	                    ret[k] += v
   381	            return {k: v for (k, v) in ret.items() if v != 0}
   382	
   383	        if dimension.name.is_Add:
   384	            dicts = [get_for_name(i) for i in dimension.name.args]
   385	            if all(d == dicts[0] for d in dicts[1:]):
   386	                return dicts[0]
   387	            raise TypeError("Only equivalent dimensions can be added or subtracted.")
   388	
   389	        if dimension.name.is_Pow:
   390	            dim_base = get_for_name(dimension.name.base)
   391	            dim_exp = get_for_name(dimension.name.exp)
   392	            if dim_exp == {} or dimension.name.exp.is_Symbol:
   393	                return {k: v * dimension.name.exp for (k, v) in dim_base.items()}
   394	            else:
   395	                raise TypeError("The exponent for the power operator must be a Symbol or dimensionless.")
   396	
   397	        if dimension.name.is_Function:
   398	            args = (Dimension._from_dimensional_dependencies(
   399	                get_for_name(arg)) for arg in dimension.name.args)
   400	            result = dimension.name.func(*args)
   401	
   402	            dicts = [get_for_name(i) for i in dimension.name.args]
   403	
   404	            if isinstance(result, Dimension):
   405	                return self.get_dimensional_dependencies(result)
   406	            elif result.func == dimension.name.func:
   407	                if isinstance(dimension.name, TrigonometricFunction):
   408	                    if dicts[0] in ({}, {Dimension('angle'): 1}):
   409	                        return {}
   410	                    else:
   411	                        raise TypeError("The input argument for the function {} must be dimensionless or have dimensions of angle.".format(dimension.func))
   412	                else:
   413	                    if all(item == {} for item in dicts):
   414	                        return {}
   415	                    else:
   416	                        raise TypeError("The input arguments for the function {} must be dimensionless.".format(dimension.func))
   417	            else:
   418	                return get_for_name(result)
   419	
   420	        raise TypeError("Type {} not implemented for get_dimensional_dependencies".format(type(dimension.name)))
   421	
   422	    def get_dimensional_dependencies(self, name, mark_dimensionless=False):
   423	        dimdep = self._get_dimensional_dependencies_for_name(name)
   424	        if mark_dimensionless and dimdep == {}:
   425	            return {Dimension(1): 1}
   426	        return {k: v for k, v in dimdep.items()}
   427	
   428	    def equivalent_dims(self, dim1, dim2):
   429	        deps1 = self.get_dimensional_dependencies(dim1)
   430	        deps2 = self.get_dimensional_dependencies(dim2)
   431	        return deps1 == deps2
   432	
   433	    def extend(self, new_base_dims, new_derived_dims=(), new_dim_deps=None):
   434	        deps = dict(self.dimensional_dependencies)
   435	        if new_dim_deps:
   436	            deps.update(new_dim_deps)
   437	
   438	        new_dim_sys = DimensionSystem(
   439	            tuple(self.base_dims) + tuple(new_base_dims),
   440	            tuple(self.derived_dims) + tuple(new_derived_dims),
   441	            deps
   442	        )
   443	        new_dim_sys._quantity_dimension_map.update(self._quantity_dimension_map)
   444	        new_dim_sys._quantity_scale_factors.update(self._quantity_scale_factors)
   445	        return new_dim_sys
   446	
   447	    def is_dimensionless(self, dimension):
   448	        """
   449	        Check if the dimension object really has a dimension.
   450	
   451	        A dimension should have at least one component with non-zero power.
   452	        """
   453	        if dimension.name == 1:
   454	            return True
   455	        return self.get_dimensional_dependencies(dimension) == {}
   456	
   457	    @property
   458	    def list_can_dims(self):
   459	        """
   460	        Useless method, kept for compatibility with previous versions.
   461	
   462	        DO NOT USE.
   463	
   464	        List all canonical dimension names.
   465	        """
   466	        dimset = set()
   467	        for i in self.base_dims:
   468	            dimset.update(set(self.get_dimensional_dependencies(i).keys()))
   469	        return tuple(sorted(dimset, key=str))
   470	
   471	    @property
   472	    def inv_can_transf_matrix(self):
   473	        """
   474	        Useless method, kept for compatibility with previous versions.
   475	
   476	        DO NOT USE.
   477	
   478	        Compute the inverse transformation matrix from the base to the
   479	        canonical dimension basis.
   480	
   481	        It corresponds to the matrix where columns are the vector of base
   482	        dimensions in canonical basis.
   483	
   484	        This matrix will almost never be used because dimensions are always
   485	        defined with respect to the canonical basis, so no work has to be done
   486	        to get them in this basis. Nonetheless if this matrix is not square
   487	        (or not invertible) it means that we have chosen a bad basis.
   488	        """
   489	        matrix = reduce(lambda x, y: x.row_join(y),
   490	                        [self.dim_can_vector(d) for d in self.base_dims])
   491	        return matrix
   492	
   493	    @property
   494	    def can_transf_matrix(self):
   495	        """
   496	        Useless method, kept for compatibility with previous versions.
   497	
   498	        DO NOT USE.
   499	
   500	        Return the canonical transformation matrix from the canonical to the
   501	        base dimension basis.
   502	
   503	        It is the inverse of the matrix computed with inv_can_transf_matrix().
   504	        """
   505	
   506	        #TODO: the inversion will fail if the system is inconsistent, for
   507	        #      example if the matrix is not a square
   508	        return reduce(lambda x, y: x.row_join(y),
   509	                      [self.dim_can_vector(d) for d in sorted(self.base_dims, key=str)]
   510	                      ).inv()
   511	
   512	    def dim_can_vector(self, dim):
   513	        """
   514	        Useless method, kept for compatibility with previous versions.
   515	
   516	        DO NOT USE.
   517	
   518	        Dimensional representation in terms of the canonical base dimensions.
   519	        """
   520	
   521	        vec = []
   522	        for d in self.list_can_dims:
   523	            vec.append(self.get_dimensional_dependencies(dim).get(d, 0))
   524	        return Matrix(vec)
   525	
   526	    def dim_vector(self, dim):
   527	        """
   528	        Useless method, kept for compatibility with previous versions.
   529	
   530	        DO NOT USE.
   531	
   532	
   533	        Vector representation in terms of the base dimensions.
   534	        """
   535	        return self.can_transf_matrix * Matrix(self.dim_can_vector(dim))
   536	
   537	    def print_dim_base(self, dim):
   538	        """
   539	        Give the string expression of a dimension in term of the basis symbols.
   540	        """
   541	        dims = self.dim_vector(dim)
   542	        symbols = [i.symbol if i.symbol is not None else i.name for i in self.base_dims]
   543	        res = S.One
   544	        for (s, p) in zip(symbols, dims):
   545	            res *= s**p
   546	        return res
   547	
   548	    @property
   549	    def dim(self):
   550	        """
   551	        Useless method, kept for compatibility with previous versions.
   552	
   553	        DO NOT USE.
   554	
   555	        Give the dimension of the system.
   556	
   557	        That is return the number of dimensions forming the basis.
   558	        """
   559	        return len(self.base_dims)
   560	
   561	    @property
   562	    def is_consistent(self):
   563	        """
   564	        Useless method, kept for compatibility with previous versions.
   565	
   566	        DO NOT USE.
   567	
   568	        Check if the system is well defined.
   569	        """
   570	
   571	        # not enough or too many base dimensions compared to independent
   572	        # dimensions
   573	        # in vector language: the set of vectors do not form a basis
   574	        return self.inv_can_transf_matrix.is_square
   575	</function_results>

Perfect! I found the key information in lines 407-416. The dimension system already handles functions correctly:

1. For trigonometric functions, if the argument is dimensionless or has dimensions of angle, the result is dimensionless (returns `{}`)
2. For other functions, if all arguments are dimensionless, the result is dimensionless (returns `{}`)

Now I need to fix the `_collect_factor_and_dimension` method to follow the same logic. Let me look at what functions are considered:

<antml:function_calls>
<antml:invoke name="bash">
<antml:parameter name="command">cd /testbed && python -c "
from sympy.functions.elementary.trigonometric import TrigonometricFunction
from sympy import exp, sin, cos, log, sqrt, tan, asin, acos, atan, symbols

x = symbols('x')
funcs = [exp(x), sin(x), cos(x), log(x), tan(x), asin(x), acos(x), atan(x)]

for f in funcs:
    print(f'{f.func.__name__}: isinstance(TrigonometricFunction) = {isinstance(f, TrigonometricFunction)}')
"</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>exp: isinstance(TrigonometricFunction) = False
sin: isinstance(TrigonometricFunction) = True
cos: isinstance(TrigonometricFunction) = True
log: isinstance(TrigonometricFunction) = False
tan: isinstance(TrigonometricFunction) = True
asin: isinstance(TrigonometricFunction) = False
acos: isinstance(TrigonometricFunction) = False
atan: isinstance(TrigonometricFunction) = False</function_results>

Interesting, some trig functions don't inherit from TrigonometricFunction. Let me check the actual inheritance:

<antml:function_calls>
<antml:invoke name="bash">
<antml:parameter name="command">cd /testbed && python -c "
from sympy import exp, sin, cos, log, sqrt, tan, asin, acos, atan, symbols

x = symbols('x')
funcs = [exp(x), sin(x), cos(x), log(x), tan(x), asin(x), acos(x), atan(x)]

for f in funcs:
    print(f'{f.func.__name__}: {f.__class__.__mro__}')
"</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>exp: (exp, ExpBase, Function, Application, <class 'sympy.core.expr.Expr'>, <class 'sympy.core.basic.Basic'>, <class 'sympy.printing.defaults.Printable'>, <class 'sympy.core.evalf.EvalfMixin'>, <class 'object'>)
sin: (sin, TrigonometricFunction, Function, Application, <class 'sympy.core.expr.Expr'>, <class 'sympy.core.basic.Basic'>, <class 'sympy.printing.defaults.Printable'>, <class 'sympy.core.evalf.EvalfMixin'>, <class 'object'>)
cos: (cos, TrigonometricFunction, Function, Application, <class 'sympy.core.expr.Expr'>, <class 'sympy.core.basic.Basic'>, <class 'sympy.printing.defaults.Printable'>, <class 'sympy.core.evalf.EvalfMixin'>, <class 'object'>)
log: (log, Function, Application, <class 'sympy.core.expr.Expr'>, <class 'sympy.core.basic.Basic'>, <class 'sympy.printing.defaults.Printable'>, <class 'sympy.core.evalf.EvalfMixin'>, <class 'object'>)
tan: (tan, TrigonometricFunction, Function, Application, <class 'sympy.core.expr.Expr'>, <class 'sympy.core.basic.Basic'>, <class 'sympy.printing.defaults.Printable'>, <class 'sympy.core.evalf.EvalfMixin'>, <class 'object'>)
asin: (asin, InverseTrigonometricFunction, Function, Application, <class 'sympy.core.expr.Expr'>, <class 'sympy.core.basic.Basic'>, <class 'sympy.printing.defaults.Printable'>, <class 'sympy.core.evalf.EvalfMixin'>, <class 'object'>)
acos: (acos, InverseTrigonometricFunction, Function, Application, <class 'sympy.core.expr.Expr'>, <class 'sympy.core.basic.Basic'>, <class 'sympy.printing.defaults.Printable'>, <class 'sympy.core.evalf.EvalfMixin'>, <class 'object'>)
atan: (atan, InverseTrigonometricFunction, Function, Application, <class 'sympy.core.expr.Expr'>, <class 'sympy.core.basic.Basic'>, <class 'sympy.printing.defaults.Printable'>, <class 'sympy.core.evalf.EvalfMixin'>, <class 'object'>)</function_results>

Now I understand the hierarchy better. Let me check what `InverseTrigonometricFunction` inherits from:

<antml:function_calls>
<antml:invoke name="bash">
<antml:parameter name="command">cd /testbed && python -c "
from sympy.functions.elementary.trigonometric import InverseTrigonometricFunction, TrigonometricFunction
print('InverseTrigonometricFunction MRO:', InverseTrigonometricFunction.__mro__)
print('Is InverseTrigonometricFunction a subclass of TrigonometricFunction?', issubclass(InverseTrigonometricFunction, TrigonometricFunction))
"</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>InverseTrigonometricFunction MRO: (InverseTrigonometricFunction, Function, Application, <class 'sympy.core.expr.Expr'>, <class 'sympy.core.basic.Basic'>, <class 'sympy.printing.defaults.Printable'>, <class 'sympy.core.evalf.EvalfMixin'>, <class 'object'>)
Is InverseTrigonometricFunction a subclass of TrigonometricFunction? False</function_results>

Now let me implement the fix. I need to modify the `_collect_factor_and_dimension` method to handle functions correctly. Based on the dimension system code, I need to:

1. For trigonometric functions: if all arguments are dimensionless or have angle dimensions, return dimensionless
2. For other functions: if all arguments are dimensionless, return dimensionless
3. Otherwise, raise an error or handle appropriately

But first, let me check what the current bug is exactly. The issue is in line 196 of unitsystem.py:

<antml:function_calls>
<antml:invoke name="str_replace_based_edit_tool">
<antml:parameter name="command">view</antml:parameter>
<antml:parameter name="path">/testbed/sympy/physics/units/unitsystem.py</antml:parameter>
<antml:parameter name="view_range">[192, 196]</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>Here's the content of /testbed/sympy/physics/units/unitsystem.py with line numbers (which has a total of 207 lines) with view_range=[192, 196]:
   192	        elif isinstance(expr, Function):
   193	            fds = [self._collect_factor_and_dimension(
   194	                arg) for arg in expr.args]
   195	            return (expr.func(*(f[0] for f in fds)),
   196	                    *(d[1] for d in fds))
</function_results>

The problem is that line 196 is unpacking the dimensions with `*`, which means it's returning multiple values instead of a single dimension. This is clearly a bug. Let me write a test to confirm this:

<antml:function_calls>
<antml:invoke name="str_replace_based_edit_tool">
<antml:parameter name="command">create</antml:parameter>
<antml:parameter name="path">/testbed/test_bug.py</antml:parameter>
<antml:parameter name="file_text">#!/usr/bin/env python3

from sympy import exp
from sympy.physics import units
from sympy.physics.units.systems.si import SI

# Test the current bug
expr = units.second / (units.ohm * units.farad)
print(f"Expression: {expr}")

# This should work
factor, dim = SI._collect_factor_and_dimension(expr)
print(f"Factor: {factor}, Dimension: {dim}")

# Test with exp - this should fail due to the bug
exp_expr = exp(expr)
print(f"exp expression: {exp_expr}")

try:
    result = SI._collect_factor_and_dimension(exp_expr)
    print(f"Result length: {len(result)}")
    print(f"Result: {result}")
except Exception as e:
    print(f"Error: {e}")
</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>New file created successfully at /testbed/test_bug.py</function_results>

<antml:function_calls>
<antml:invoke name="bash">
<antml:parameter name="command">cd /testbed && python test_bug.py</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>Expression: second/(farad*ohm)
Factor: 1, Dimension: Dimension(time/(capacitance*impedance))
exp expression: exp(second/(farad*ohm))
Result length: 2
Result: (E, Dimension(time/(capacitance*impedance)))</function_results>

Good! So the function is returning the correct length (2), which means the bug is just the unpacking. Now let me fix it. I need to implement the proper logic for handling functions based on the dimension system code.

Let me first check if there are any existing tests for this functionality:

<antml:function_calls>
<antml:invoke name="bash">
<antml:parameter name="command">find /testbed -name "*.py" -path "*/test*" -exec grep -l "_collect_factor_and_dimension\|exp.*units\|function.*dimension" {} \;</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>/testbed/sympy/printing/mathematica.py
/testbed/sympy/matrices/expressions/matexpr.py
/testbed/sympy/matrices/expressions/sets.py
/testbed/sympy/testing/runtests.py
/testbed/sympy/vector/functions.py
/testbed/sympy/utilities/autowrap.py
/testbed/sympy/core/multidimensional.py
/testbed/sympy/physics/qho_1d.py
/testbed/sympy/physics/vector/fieldfunctions.py
/testbed/sympy/physics/units/unitsystem.py
/testbed/sympy/physics/units/__init__.py
/testbed/sympy/physics/units/tests/test_quantities.py
/testbed/sympy/physics/units/dimensions.py
/testbed/sympy/physics/units/quantities.py
/testbed/sympy/physics/units/systems/cgs.py
/testbed/sympy/physics/units/util.py
/testbed/examples/advanced/autowrap_integrators.py
/testbed/reproduce_issue.py
/testbed/test_bug.py
/testbed/test_functions.py</function_results>

<antml:function_calls>
<antml:invoke name="str_replace_based_edit_tool">
<antml:parameter name="command">view</antml:parameter>
<antml:parameter name="path">/testbed/sympy/physics/units/tests/test_quantities.py</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>Here's the content of /testbed/sympy/physics/units/tests/test_quantities.py with line numbers:
     1	import warnings
     2	
     3	from sympy.core.add import Add
     4	from sympy.core.function import (Function, diff)
     5	from sympy.core.numbers import (Number, Rational)
     6	from sympy.core.singleton import S
     7	from sympy.core.symbol import (Symbol, symbols)
     8	from sympy.functions.elementary.complexes import Abs
     9	from sympy.functions.elementary.exponential import (exp, log)
    10	from sympy.functions.elementary.miscellaneous import sqrt
    11	from sympy.functions.elementary.trigonometric import sin
    12	from sympy.integrals.integrals import integrate
    13	from sympy.physics.units import (amount_of_substance, area, convert_to, find_unit,
    14	                                 volume, kilometer, joule, molar_gas_constant,
    15	                                 vacuum_permittivity, elementary_charge, volt,
    16	                                 ohm)
    17	from sympy.physics.units.definitions import (amu, au, centimeter, coulomb,
    18	    day, foot, grams, hour, inch, kg, km, m, meter, millimeter,
    19	    minute, quart, s, second, speed_of_light, bit,
    20	    byte, kibibyte, mebibyte, gibibyte, tebibyte, pebibyte, exbibyte,
    21	    kilogram, gravitational_constant)
    22	
    23	from sympy.physics.units.definitions.dimension_definitions import (
    24	    Dimension, charge, length, time, temperature, pressure,
    25	    energy, mass
    26	)
    27	from sympy.physics.units.prefixes import PREFIXES, kilo
    28	from sympy.physics.units.quantities import PhysicalConstant, Quantity
    29	from sympy.physics.units.systems import SI
    30	from sympy.testing.pytest import XFAIL, raises, warns_deprecated_sympy
    31	
    32	k = PREFIXES["k"]
    33	
    34	
    35	def test_str_repr():
    36	    assert str(kg) == "kilogram"
    37	
    38	
    39	def test_eq():
    40	    # simple test
    41	    assert 10*m == 10*m
    42	    assert 10*m != 10*s
    43	
    44	
    45	def test_convert_to():
    46	    q = Quantity("q1")
    47	    q.set_global_relative_scale_factor(S(5000), meter)
    48	
    49	    assert q.convert_to(m) == 5000*m
    50	
    51	    assert speed_of_light.convert_to(m / s) == 299792458 * m / s
    52	    # TODO: eventually support this kind of conversion:
    53	    # assert (2*speed_of_light).convert_to(m / s) == 2 * 299792458 * m / s
    54	    assert day.convert_to(s) == 86400*s
    55	
    56	    # Wrong dimension to convert:
    57	    assert q.convert_to(s) == q
    58	    assert speed_of_light.convert_to(m) == speed_of_light
    59	
    60	    expr = joule*second
    61	    conv = convert_to(expr, joule)
    62	    assert conv == joule*second
    63	
    64	
    65	def test_Quantity_definition():
    66	    q = Quantity("s10", abbrev="sabbr")
    67	    q.set_global_relative_scale_factor(10, second)
    68	    u = Quantity("u", abbrev="dam")
    69	    u.set_global_relative_scale_factor(10, meter)
    70	    km = Quantity("km")
    71	    km.set_global_relative_scale_factor(kilo, meter)
    72	    v = Quantity("u")
    73	    v.set_global_relative_scale_factor(5*kilo, meter)
    74	
    75	    assert q.scale_factor == 10
    76	    assert q.dimension == time
    77	    assert q.abbrev == Symbol("sabbr")
    78	
    79	    assert u.dimension == length
    80	    assert u.scale_factor == 10
    81	    assert u.abbrev == Symbol("dam")
    82	
    83	    assert km.scale_factor == 1000
    84	    assert km.func(*km.args) == km
    85	    assert km.func(*km.args).args == km.args
    86	
    87	    assert v.dimension == length
    88	    assert v.scale_factor == 5000
    89	
    90	    with warns_deprecated_sympy():
    91	        Quantity('invalid', 'dimension', 1)
    92	    with warns_deprecated_sympy():
    93	        Quantity('mismatch', dimension=length, scale_factor=kg)
    94	
    95	
    96	def test_abbrev():
    97	    u = Quantity("u")
    98	    u.set_global_relative_scale_factor(S.One, meter)
    99	
   100	    assert u.name == Symbol("u")
   101	    assert u.abbrev == Symbol("u")
   102	
   103	    u = Quantity("u", abbrev="om")
   104	    u.set_global_relative_scale_factor(S(2), meter)
   105	
   106	    assert u.name == Symbol("u")
   107	    assert u.abbrev == Symbol("om")
   108	    assert u.scale_factor == 2
   109	    assert isinstance(u.scale_factor, Number)
   110	
   111	    u = Quantity("u", abbrev="ikm")
   112	    u.set_global_relative_scale_factor(3*kilo, meter)
   113	
   114	    assert u.abbrev == Symbol("ikm")
   115	    assert u.scale_factor == 3000
   116	
   117	
   118	def test_print():
   119	    u = Quantity("unitname", abbrev="dam")
   120	    assert repr(u) == "unitname"
   121	    assert str(u) == "unitname"
   122	
   123	
   124	def test_Quantity_eq():
   125	    u = Quantity("u", abbrev="dam")
   126	    v = Quantity("v1")
   127	    assert u != v
   128	    v = Quantity("v2", abbrev="ds")
   129	    assert u != v
   130	    v = Quantity("v3", abbrev="dm")
   131	    assert u != v
   132	
   133	
   134	def test_add_sub():
   135	    u = Quantity("u")
   136	    v = Quantity("v")
   137	    w = Quantity("w")
   138	
   139	    u.set_global_relative_scale_factor(S(10), meter)
   140	    v.set_global_relative_scale_factor(S(5), meter)
   141	    w.set_global_relative_scale_factor(S(2), second)
   142	
   143	    assert isinstance(u + v, Add)
   144	    assert (u + v.convert_to(u)) == (1 + S.Half)*u
   145	    # TODO: eventually add this:
   146	    # assert (u + v).convert_to(u) == (1 + S.Half)*u
   147	    assert isinstance(u - v, Add)
   148	    assert (u - v.convert_to(u)) == S.Half*u
   149	    # TODO: eventually add this:
   150	    # assert (u - v).convert_to(u) == S.Half*u
   151	
   152	
   153	def test_quantity_abs():
   154	    v_w1 = Quantity('v_w1')
   155	    v_w2 = Quantity('v_w2')
   156	    v_w3 = Quantity('v_w3')
   157	
   158	    v_w1.set_global_relative_scale_factor(1, meter/second)
   159	    v_w2.set_global_relative_scale_factor(1, meter/second)
   160	    v_w3.set_global_relative_scale_factor(1, meter/second)
   161	
   162	    expr = v_w3 - Abs(v_w1 - v_w2)
   163	
   164	    assert SI.get_dimensional_expr(v_w1) == (length/time).name
   165	
   166	    Dq = Dimension(SI.get_dimensional_expr(expr))
   167	
   168	    with warns_deprecated_sympy():
   169	        Dq1 = Dimension(Quantity.get_dimensional_expr(expr))
   170	        assert Dq == Dq1
   171	
   172	    assert SI.get_dimension_system().get_dimensional_dependencies(Dq) == {
   173	        length: 1,
   174	        time: -1,
   175	    }
   176	    assert meter == sqrt(meter**2)
   177	
   178	
   179	def test_check_unit_consistency():
   180	    u = Quantity("u")
   181	    v = Quantity("v")
   182	    w = Quantity("w")
   183	
   184	    u.set_global_relative_scale_factor(S(10), meter)
   185	    v.set_global_relative_scale_factor(S(5), meter)
   186	    w.set_global_relative_scale_factor(S(2), second)
   187	
   188	    def check_unit_consistency(expr):
   189	        SI._collect_factor_and_dimension(expr)
   190	
   191	    raises(ValueError, lambda: check_unit_consistency(u + w))
   192	    raises(ValueError, lambda: check_unit_consistency(u - w))
   193	    raises(ValueError, lambda: check_unit_consistency(u + 1))
   194	    raises(ValueError, lambda: check_unit_consistency(u - 1))
   195	    raises(ValueError, lambda: check_unit_consistency(1 - exp(u / w)))
   196	
   197	
   198	def test_mul_div():
   199	    u = Quantity("u")
   200	    v = Quantity("v")
   201	    t = Quantity("t")
   202	    ut = Quantity("ut")
   203	    v2 = Quantity("v")
   204	
   205	    u.set_global_relative_scale_factor(S(10), meter)
   206	    v.set_global_relative_scale_factor(S(5), meter)
   207	    t.set_global_relative_scale_factor(S(2), second)
   208	    ut.set_global_relative_scale_factor(S(20), meter*second)
   209	    v2.set_global_relative_scale_factor(S(5), meter/second)
   210	
   211	    assert 1 / u == u**(-1)
   212	    assert u / 1 == u
   213	
   214	    v1 = u / t
   215	    v2 = v
   216	
   217	    # Pow only supports structural equality:
   218	    assert v1 != v2
   219	    assert v1 == v2.convert_to(v1)
   220	
   221	    # TODO: decide whether to allow such expression in the future
   222	    # (requires somehow manipulating the core).
   223	    # assert u / Quantity('l2', dimension=length, scale_factor=2) == 5
   224	
   225	    assert u * 1 == u
   226	
   227	    ut1 = u * t
   228	    ut2 = ut
   229	
   230	    # Mul only supports structural equality:
   231	    assert ut1 != ut2
   232	    assert ut1 == ut2.convert_to(ut1)
   233	
   234	    # Mul only supports structural equality:
   235	    lp1 = Quantity("lp1")
   236	    lp1.set_global_relative_scale_factor(S(2), 1/meter)
   237	    assert u * lp1 != 20
   238	
   239	    assert u**0 == 1
   240	    assert u**1 == u
   241	
   242	    # TODO: Pow only support structural equality:
   243	    u2 = Quantity("u2")
   244	    u3 = Quantity("u3")
   245	    u2.set_global_relative_scale_factor(S(100), meter**2)
   246	    u3.set_global_relative_scale_factor(Rational(1, 10), 1/meter)
   247	
   248	    assert u ** 2 != u2
   249	    assert u ** -1 != u3
   250	
   251	    assert u ** 2 == u2.convert_to(u)
	< truncated lines 252-322 >
   323	    q1 = Quantity('q1')
   324	    q2 = Quantity('q2')
   325	
   326	    SI.set_quantity_dimension(q1, length*pressure**2*temperature/time)
   327	    SI.set_quantity_dimension(q2, energy*pressure*temperature/(length**2*time))
   328	
   329	    assert q1 + q2
   330	    q = q1 + q2
   331	    Dq = Dimension(SI.get_dimensional_expr(q))
   332	    assert SI.get_dimension_system().get_dimensional_dependencies(Dq) == {
   333	        length: -1,
   334	        mass: 2,
   335	        temperature: 1,
   336	        time: -5,
   337	    }
   338	
   339	
   340	def test_factor_and_dimension():
   341	    assert (3000, Dimension(1)) == SI._collect_factor_and_dimension(3000)
   342	    assert (1001, length) == SI._collect_factor_and_dimension(meter + km)
   343	    assert (2, length/time) == SI._collect_factor_and_dimension(
   344	        meter/second + 36*km/(10*hour))
   345	
   346	    x, y = symbols('x y')
   347	    assert (x + y/100, length) == SI._collect_factor_and_dimension(
   348	        x*m + y*centimeter)
   349	
   350	    cH = Quantity('cH')
   351	    SI.set_quantity_dimension(cH, amount_of_substance/volume)
   352	
   353	    pH = -log(cH)
   354	
   355	    assert (1, volume/amount_of_substance) == SI._collect_factor_and_dimension(
   356	        exp(pH))
   357	
   358	    v_w1 = Quantity('v_w1')
